order_id,customer_id,product_id,quantity,unit_price,order_date,status,region
1001,C001,P101,2,499.99,2024-01-15,completed,North
1002,C002,P102,1,1299.00,2024-01-15,completed,South
1003,C003,P103,3,199.50,2024-01-16,cancelled,East
1004,C001,P104,1,89.00,2024-01-16,completed,North
1005,C004,P101,2,499.99,2024-01-17,completed,West
1006,C005,P105,1,,2024-01-17,completed,South
1007,C006,P102,2,1299.00,2024-01-18,returned,East
1008,C002,P103,1,199.50,2024-01-18,completed,South
1009,C007,P106,3,349.00,2024-01-19,completed,North
1010,C008,P101,1,499.99,2024-01-19,completed,West
1011,C003,P104,2,89.00,2024-01-20,completed,East
1012,C009,P107,1,599.00,2024-01-20,completed,South
1013,C010,P102,1,1299.00,2024-01-21,completed,North
1014,C001,P103,4,199.50,2024-01-21,completed,North
1015,C011,P105,1,149.00,2024-01-22,cancelled,West
1016,C004,P106,2,349.00,2024-01-22,completed,West
1017,C012,P101,3,499.99,2024-01-23,completed,South
1018,C005,P107,1,599.00,2024-01-23,completed,South
1019,C013,P104,1,89.00,2024-01-24,completed,East
1020,C006,P102,1,1299.00,2024-01-24,completed,East
